g,a,b,c,ia,ib,ic,va,vb,vc
0,0,0,0,-59.31295496,167.7771517,-108.4641956,932.1257391,-1036.012896,103.8871567
0,0,0,0,-69.61021781,169.2480165,-99.63779745,973.078485,-1002.575084,29.49659878
0,0,0,0,-79.65257073,169.9966571,-90.34408518,1010.085736,-964.6711878,-45.41454836
0,0,0,0,-89.30589297,170.0132169,-80.70732275,1042.598661,-922.8202358,-119.7784252
0,0,0,0,-98.57578855,169.3026468,-70.72685707,1070.649549,-877.02853,-193.6210187
0,0,0,0,-107.4613865,167.8597407,-60.39835301,1094.015234,-827.2744615,-266.7407724
0,0,0,0,-115.8473512,165.703566,-49.85621364,1112.99848,-774.164873,-338.833607
0,0,0,0,-123.7337527,162.8393022,-39.10554841,1127.004866,-717.7868993,-409.2179663
0,0,0,0,-131.1256911,159.2593456,-28.13365331,1136.380378,-657.9906605,-478.389717
0,0,0,0,-137.9180796,155.0139643,-17.09588364,1140.642496,-595.7593573,-544.8831383
0,0,0,0,-144.120482,150.1051438,-5.984660711,1140.192117,-530.8924493,-609.2996674
0,0,0,0,-149.7286909,144.5282899,5.200402074,1134.70508,-463.5267453,-671.1783349
0,0,0,0,-154.6697318,138.3558736,16.3138593,1124.437418,-394.47754,-729.9598781
0,0,0,0,-158.9469444,131.5943455,27.35260005,1109.36864,-323.7466624,-785.6219774
0,0,0,0,-162.5609504,124.2303967,38.33055481,1089.510316,-251.2123647,-838.2979518
0,0,0,0,-165.4597417,116.3696098,49.090133,1065.063374,-177.9641561,-887.0992183
0,0,0,0,-167.6499442,108.0119172,59.63802804,1036.039855,-104.0392422,-932.0006129
0,0,0,0,-169.1282573,99.14711419,69.98114413,1002.437449,-29.29214721,-973.1453013
0,0,0,0,-169.8736967,89.90073691,79.97296089,964.7092364,45.25920822,-1009.968445
0,0,0,0,-169.8923114,80.26939234,89.62292012,922.8671945,119.6455972,-1042.512792
0,0,0,0,-169.1786443,70.24340021,98.93524514,876.8520521,193.8432545,-1070.695307
0,0,0,0,-167.742531,59.9645112,107.7780209,827.2937644,266.9435026,-1094.237267
0,0,0,0,-165.5888229,49.43009372,116.1587302,774.2281277,338.7137424,-1112.94187
0,0,0,0,-162.7109468,38.63070193,124.0802459,717.5726027,409.4531278,-1127.02573
0,0,0,0,-159.1493037,27.71740963,131.431895,658.1033777,478.1470411,-1136.250419
0,0,0,0,-154.9052797,16.68179419,138.2234865,595.847346,544.7435269,-1140.590873
0,0,0,0,-149.9739267,5.522258393,144.4516693,530.6810484,609.4373929,-1140.118441
0,0,0,0,-144.4227652,-5.608472734,150.0312389,463.6149994,671.0698754,-1134.684875
0,0,0,0,-138.2528161,-16.7175214,154.9703385,394.5457192,729.8961771,-1124.441896
0,0,0,0,-131.4591925,-27.80550348,159.264697,323.6047729,785.6024035,-1109.207176
0,0,0,0,-124.1304328,-38.72838249,162.8588163,251.3188236,838.1860228,-1089.504846
0,0,0,0,-116.2709857,-49.48533643,165.7563231,178.0296222,887.0549345,-1065.084557
0,0,0,0,-107.8735956,-60.08030632,167.9539028,103.6725551,932.2599806,-1035.932536
0,0,0,0,-99.05239642,-70.36947297,169.4218703,29.36352266,973.0987665,-1002.462289
0,0,0,0,-89.80569079,-80.36052985,170.1662216,-45.28922633,1010.042792,-964.7535659
0,0,0,0,-80.13063716,-90.05119275,170.1818308,-119.908554,1042.600689,-922.6921349
0,0,0,0,-70.1530466,-99.3153586,169.4684061,-193.7101565,1070.609035,-876.8988788
0,0,0,0,-59.8784426,-108.1531735,168.031617,-266.6847853,1094.047201,-827.3624159
0,0,0,0,-49.29113331,-116.5730019,165.8641361,-338.9735448,1112.993844,-774.0202993
0,0,0,0,-38.54303544,-124.4538742,162.9969105,-409.4390858,1127.055489,-717.6164028
0,0,0,0,-27.63019415,-131.8035046,159.4336996,-478.0422596,1136.222171,-658.1799113
0,0,0,0,-16.5429943,-138.6238197,155.1668149,-544.9896339,1140.597343,-595.6077092
0,0,0,0,-5.437828959,-144.8184849,150.2563147,-609.2579811,1140.056852,-530.7988706
0,0,0,0,5.692051899,-150.3960474,144.7039964,-670.9943082,1134.689528,-463.6952197
0,0,0,0,16.85477759,-155.3559014,138.5011246,-730.1035906,1124.394356,-394.2907654
0,0,0,0,27.89249384,-159.6276411,131.7351482,-785.9001754,1109.374298,-323.4741229
0,0,0,0,38.8108898,-163.2183038,124.4074148,-838.1356966,1089.53646,-251.4007631
0,0,0,0,49.61725189,-166.1258089,116.5085579,-887.1076201,1064.957943,-177.8503233
0,0,0,0,60.16030415,-168.3095465,108.1492432,-932.0943282,1035.950005,-103.8556764
0,0,0,0,70.44983193,-169.7759178,99.32608673,-972.9925966,1002.503091,-29.5104944
0,0,0,0,80.48680426,-170.520414,90.03361052,-1010.133643,964.6171884,45.51645455
0,0,0,0,90.13273827,-170.5325998,80.3998623,-1042.57417,922.7592668,119.8149031
0,0,0,0,99.39607388,-169.8177461,70.42167307,-1070.623623,876.9687104,193.6549129
0,0,0,0,108.2750022,-168.3706033,60.09560189,-1093.990212,827.2154379,266.7747741
0,0,0,0,116.6543871,-166.2102486,49.55586225,-1112.974068,774.1064287,338.867639
0,0,0,0,124.5342729,-163.3418441,38.80757204,-1126.981211,717.7291406,409.2520702
0,0,0,0,131.9197239,-159.7577635,27.83804033,-1136.357344,657.9335065,478.4238379
0,0,0,0,138.7057179,-155.5083161,16.80259895,-1140.620242,595.7029085,544.9173337
0,0,0,0,144.901785,-150.5954654,5.693681155,-1140.170483,530.8366099,609.3338728
0,0,0,0,150.5036909,-145.0145999,-5.489090236,-1134.68419,463.4716024,671.2125875
0,0,0,0,155.4385175,-138.8382263,-16.60029047,-1124.41719,394.4230486,729.994141
0,0,0,0,159.7095772,-132.0727772,-27.63679927,-1109.349067,323.6928298,785.6562368
0,0,0,0,163.3174593,-124.7049232,-38.61253538,-1089.491291,251.1591332,838.3321574
0,0,0,0,166.2102837,-116.8401647,-49.37011819,-1065.045962,177.9073091,887.1386526
0,0,0,0,168.3944916,-108.4786538,-59.91583707,-1036.021357,103.989142,932.0322149
0,0,0,0,169.866864,-99.61011168,-70.25675163,-1002.424555,29.1960517,973.2285032
0,0,0,0,170.6063877,-90.35987893,-80.24650808,-964.6923123,-45.30943281,1010.001745
0,0,0,0,170.619186,-80.72489462,-89.8942907,-922.8509806,-119.6963538,1042.547334
0,0,0,0,169.8997355,-70.69518949,-99.20454531,-876.8364114,-193.8932448,1070.729656
0,0,0,0,168.4579206,-60.41266681,-108.0452531,-827.2786529,-266.9930152,1094.271668
0,0,0,0,166.2985645,-49.87464889,-116.4239149,-774.2136573,-338.7626592,1112.976317
0,0,0,0,163.4150655,-39.07167168,-124.3433931,-717.5587254,-409.5014748,1127.0602
0,0,0,0,159.8478783,-28.15484334,-131.6930342,-658.0900723,-478.1948318,1136.284904
0,0,0,0,155.598361,-17.11572324,-138.482637,-595.8346268,-544.7907517,1140.625379
0,0,0,0,150.6615394,-5.95269699,-144.7088418,-530.6688627,-609.4840781,1140.152941
0,0,0,0,145.1049859,5.18147791,-150.2864631,-463.6034181,-671.1159661,1134.719384
0,0,0,0,138.9296938,16.29394184,-155.223635,-394.5347075,-729.9416815,1124.476389
0,0,0,0,132.1307525,27.38532631,-159.5160782,-323.5944674,-785.6472161,1109.241684
0,0,0,0,124.7967461,38.31156612,-163.1083116,-251.3089664,-838.2302919,1089.539258
0,0,0,0,116.9335004,49.06984077,-166.0033405,-178.12652,-886.9490187,1065.075539
0,0,0,0,108.5300951,59.66940281,-168.1994973,-103.6515436,-932.3191743,1035.970718
0,0,0,0,99.70314365,69.96272591,-169.6658689,-29.34554667,-973.1525597,1002.498106
0,0,0,0,90.45223526,79.95603058,-170.4082652,45.31186757,-1010.101471,964.7896032
0,0,0,0,80.77138732,89.65077862,-170.4221653,119.9152565,-1042.641503,922.7262461
0,0,0,0,70.78883081,98.91813714,-169.7069673,193.7166191,-1070.649607,876.9329883
0,0,0,0,60.50931312,107.7591103,-168.2684228,266.6907701,-1094.087277,827.3965069
0,0,0,0,49.91711327,116.1820815,-166.0991941,338.9791086,-1113.033466,774.0543572
0,0,0,0,39.16419388,124.0660527,-163.230246,409.4442011,-1127.094641,717.6504402
0,0,0,0,28.24657593,131.4187539,-159.6653292,478.046871,-1136.260823,658.2139515
0,0,0,0,17.15461967,138.2421274,-155.3967465,544.9937601,-1140.635506,595.6417455
0,0,0,0,6.044763629,144.4398099,-150.4845729,609.2616061,-1140.094516,530.8329096
0,0,0,0,-5.089766872,150.0203643,-144.9305969,670.9974483,-1134.726702,463.7292533
0,0,0,0,-16.25712506,154.9832005,-138.7260749,730.1062093,-1124.431011,394.3248021
0,0,0,0,-27.29941204,159.2578844,-131.9584718,785.9022948,-1109.410446,323.508151
0,0,0,0,-38.22233988,162.8514677,-124.6291273,838.1372082,-1089.572025,251.4348164
0,0,0,0,-49.03296913,165.7618034,-116.7288337,887.1106071,-1064.993529,177.882922
0,0,0,0,-59.58067388,167.9484828,-108.3678083,932.0954683,-1035.984685,103.8892171
0,0,0,0,-69.87549733,169.4178559,-99.54235798,973.0497325,-1002.546506,29.49677342
0,0,0,0,-79.91659285,170.1651031,-90.24850967,1010.135484,-964.6502672,-45.48521657
0,0,0,0,-89.56642951,170.1800448,-80.61361472,1042.572963,-922.791969,-119.7809942
0,0,0,0,-98.83402724,169.4679639,-70.63393614,1070.622154,-877.0009646,-193.6211897
0,0,0,0,-107.7172211,168.0235873,-60.30636566,1093.98816,-827.2471188,-266.7410412
0,0,0,0,-116.1008206,165.8659641,-49.76514295,1112.971619,-774.1376714,-338.833948
0,0,0,0,-123.9848819,163.0002671,-39.01538459,1126.97827,-717.759878,-409.2183921
0,0,0,0,-131.3744923,159.4188844,-28.04439156,1136.353993,-657.9637925,-478.3902006
0,0,0,0,-138.1645883,155.1720985,-17.00750965,1140.616372,-595.7326804,-544.8836915
0,0,0,0,-144.3647228,150.2618872,-5.897163891,1140.16618,-530.8659313,-609.3002487
0,0,0,0,-149.9706796,144.6836504,5.28702974,1134.679353,-463.5004179,-671.1789351
0,0,0,0,-154.9095053,138.5098712,16.39963454,1124.411846,-394.4513899,-729.9604557
0,0,0,0,-159.1845306,131.7469941,27.43753697,1109.343188,-323.7206929,-785.6224951
0,0,0,0,-162.7963663,124.381703,38.41466374,1089.484916,-251.1865579,-838.2983584
0,0,0,0,-165.6930236,116.5195774,49.17344677,1065.0376,-177.9407093,-887.0968911
0,0,0,0,-167.8811677,108.1604741,59.72069409,1036.013911,-104.0167431,-931.9971683
0,0,0,0,-169.3573432,99.29468477,70.06265891,1002.413706,-29.23636976,-973.1773367
0,0,0,0,-170.1007514,90.04674165,80.05401024,964.6837759,45.28473658,-1009.968513
0,0,0,0,-170.1172984,80.41412769,89.70317117,922.84196,119.671219,-1042.513179
0,0,0,0,-169.401603,70.38687048,99.01473301,876.8269348,193.8685231,-1070.695458
0,0,0,0,-167.9634956,60.10675327,107.8567428,827.2687275,266.968697,-1094.237424
0,0,0,0,-165.8078152,49.5711217,116.2366939,774.2032163,338.7388262,-1112.942042
0,0,0,0,-162.9279783,38.77052474,124.157454,717.547805,409.4781239,-1127.025929
0,0,0,0,-159.3644047,27.85604699,131.5083582,658.0786921,478.1719572,-1136.250649
0,0,0,0,-155.1184706,16.81925877,138.2992123,595.8227837,544.7683532,-1140.591137
0,0,0,0,-150.1852187,5.658556214,144.5266629,530.6565951,609.4621245,-1140.11872
0,0,0,0,-144.6321874,-5.473325878,150.1055137,463.5906846,671.0944716,-1134.685156
0,0,0,0,-138.460388,-16.5835168,155.0439053,394.5215353,729.9206131,-1124.442148
0,0,0,0,-131.6649253,-27.6726386,159.3375644,323.5807707,785.6266129,-1109.207384
0,0,0,0,-124.3343535,-38.59664588,162.9309998,251.2949173,838.210023,-1089.50494
0,0,0,0,-116.474957,-49.35209665,165.8270541,178.109374,886.932402,-1065.041776
0,0,0,0,-108.0737914,-59.95101631,168.0248082,103.650667,932.2809721,-1035.931639
0,0,0,0,-99.25087695,-70.24124216,169.4921195,29.33016957,973.1334048,-1002.463574
0,0,0,0,-90.00254483,-80.23324834,170.2357936,-45.3102096,1010.063042,-964.752832
0,0,0,0,-80.32568281,-89.925059,170.2507422,-119.9316527,1042.623216,-922.6915632
0,0,0,0,-70.34641309,-99.19027312,169.5366866,-193.7335121,1070.631803,-876.8982907
0,0,0,0,-60.07014223,-108.029135,168.0992776,-266.7081066,1094.069871,-827.3617649
0,0,0,0,-49.4811767,-116.4500037,165.9311808,-338.9968294,1113.016416,-774.0195869
0,0,0,0,-38.73144912,-124.3319001,163.0633497,-409.4623162,1127.077955,-717.615639
0,0,0,0,-27.81699617,-131.6825438,159.4995404,-478.0654108,1136.24452,-658.1791092
0,0,0,0,-16.72819376,-138.5038672,155.2320614,-545.0127018,1140.619572,-595.6068703
0,0,0,0,-5.621449421,-144.6995269,150.3209767,-609.280942,1140.078944,-530.7980015
0,0,0,0,5.509996073,-150.2780763,144.7680806,-671.0171447,1134.711466,-463.6943209
0,0,0,0,16.67428096,-155.2389155,138.5646349,-730.1262638,1124.416107,-394.289843
0,0,0,0,27.71353668,-159.5116301,131.7980938,-785.9226641,1109.39584,-323.4731757
0,0,0,0,38.63346066,-163.1032626,124.4698023,-838.1579351,1089.557741,-251.3998055
0,0,0,0,49.44132565,-166.0117315,116.5704062,-887.1300997,1064.979017,-177.8489171
0,0,0,0,59.985902,-168.1964311,108.2105295,-932.1159742,1035.970706,-103.8547314
0,0,0,0,70.27776911,-169.6638944,99.38612568,-973.0708179,1002.533171,-29.46235276
0,0,0,0,80.3155484,-170.4091805,90.09363251,-1010.152523,964.6374625,45.5150601
0,0,0,0,89.96281934,-170.4223089,80.45948997,-1042.59529,922.7792256,119.8160645
0,0,0,0,99.22757899,-169.7083758,70.48079722,-1070.6447,876.9884977,193.6562025
0,0,0,0,108.10793,-168.2621527,60.15422302,-1094.011119,827.2350002,266.7761192
0,0,0,0,116.4887187,-166.1027058,49.61398745,-1112.994877,774.1258147,338.8690626
0,0,0,0,124.3699561,-163.23521,38.86525432,-1127.002517,717.7481875,409.2543294
0,0,0,0,131.7568375,-159.6520135,27.89517633,-1136.377924,657.9524859,478.4254378
0,0,0,0,138.5441698,-155.4034533,16.85928391,-1140.640677,595.7217287,544.9189481
0,0,0,0,144.741592,-150.4914759,5.749884273,-1140.19082,530.855137,609.335683
0,0,0,0,150.3448708,-144.9114558,-5.433414639,-1134.705023,463.4892429,671.2157801
0,0,0,0,155.2810067,-138.7359453,-16.54506106,-1124.437159,394.4412737,729.9958849
0,0,0,0,159.5533862,-131.9713307,-27.58205517,-1109.369171,323.7097954,785.6593756
0,0,0,0,163.1625734,-124.6043318,-38.55824127,-1089.510821,251.1770607,838.3337601
0,0,0,0,166.0564876,-116.7408329,-49.31565436,-1065.064238,177.9296117,887.1346259
0,0,0,0,168.2421729,-108.3797358,-59.8624368,-1036.040396,104.0069201,932.0334757
0,0,0,0,169.7160474,-99.51090685,-70.20514023,-1002.459379,29.13314851,973.32623
0,0,0,0,170.4565937,-90.26264048,-80.19395289,-964.710984,-45.29352242,1010.004506
0,0,0,0,170.4706547,-80.62843339,-89.84222094,-922.8693813,-119.679047,1042.548428
0,0,0,0,169.7524461,-70.5995496,-99.15289622,-876.8546124,-193.8762977,1070.73091
0,0,0,0,168.3118563,-60.31782556,-107.9940304,-827.2966587,-266.9762536,1094.272912
0,0,0,0,166.1536851,-49.78057118,-116.3731136,-774.2318103,-338.7455235,1112.977334
0,0,0,0,163.2714165,-38.97839158,-124.2930246,-717.5763245,-409.48498,1127.061304
0,0,0,0,159.7054257,-28.06236546,-131.6430599,-658.1074802,-478.1786701,1136.28615
0,0,0,0,155.457089,-17.02402259,-138.4330661,-595.8518348,-544.7748403,1140.626675
0,0,0,0,150.5214423,-5.861769464,-144.6596726,-530.6858932,-609.4683658,1140.154259
0,0,0,0,144.9660366,5.271672797,-150.2377091,-463.6201897,-671.1004495,1134.720639
0,0,0,0,138.7918937,16.38336872,-155.1752621,-394.5513511,-729.9263409,1124.477692
0,0,0,0,131.9941165,27.47397546,-159.4680917,-323.6103825,-785.6327005,1109.243083
0,0,0,0,124.6612093,38.39951278,-163.0607218,-251.3251989,-838.215302,1089.540501
0,0,0,0,116.799143,49.15701962,-165.9561623,-178.1395419,-886.9378893,1065.077431
0,0,0,0,108.3960575,59.75686979,-168.152927,-103.6808896,-932.2865034,1035.967393
0,0,0,0,99.57091259,70.04852733,-169.6194396,-29.36130934,-973.1377814,1002.499091
0,0,0,0,90.32045392,80.0418121,-170.3622657,45.28122739,-1010.070675,964.7894475
0,0,0,0,80.64135021,89.73513942,-170.3764893,119.8998386,-1042.626972,922.7271337
0,0,0,0,70.65985693,99.00180665,-169.6616633,193.7013588,-1070.635175,876.9338166
0,0,0,0,60.3813981,107.8420893,-168.2234872,266.675705,-1094.072982,827.3972767
0,0,0,0,49.79021207,116.2643785,-166.0545903,338.962808,-1113.018568,774.0557601
0,0,0,0,39.03838304,124.1476587,-163.1860415,409.429533,-1127.080609,717.6510764
0,0,0,0,28.1215929,131.499834,-159.6214266,478.0314408,-1136.246211,658.2147703
0,0,0,0,17.03085017,138.3223978,-155.3532477,544.9796015,-1140.621865,595.6422635
0,0,0,0,5.921966135,144.5194418,-150.4414076,609.2475847,-1140.080928,530.8333429
0,0,0,0,-5.211542948,150.0993281,-144.8877849,670.9835416,-1134.713266,463.7297248
0,0,0,0,-16.37789398,155.0615071,-138.6836128,730.0925708,-1124.417764,394.3251929
0,0,0,0,-27.41919249,159.3355455,-131.9163527,785.8888083,-1109.397317,323.5085083
